"textEmbedding","resposta"
"#mention that sounds good..maybe a little flat ironing if need be",0
"Maybe tonight Ill call ya, after my blood turns into ..",1
"She cant hold her  ??",1
"RT #mention: #mention proudly Present  | March 17th 2014 |  House | #media",1
"In Idaho, a dispute over  has come to a head.",1
"My mums just said she wont buy  from the arena tonight because its too expensive Mother please come on",1
"NO   NO LIFE",1
"CRAFT  Documentary Premieries in Portland a?\" The DailyA Meal #url",1
"RT #mention: \"Youre not  if you can lie on the floor without holding on.\" ~Dean Martin #url  #caa?|",1
"RT #mention: \"Youre not  if you can lie on the floor without holding on.\" ~Dean Martin #url  #caa?|",1
"() Hockey Fans Suing Arena Over Misleading  Prices: Idaho hockey fans sue arena over .. ",1
"RT : Curious about all the different types of  out there? Check out our  101 post: ",1
"Have you seen the Bullpen Chatter website. Its a great resource for fishing, , and everything in between.. #url",1
"The taste tells the very best of Czech  tradition Malastrana Original Pils Seeking Importers  #url",1
"Your Brain on  vs. Coffee [infographic]: Its funny, Ia?Tve never been a fan of coffee. Despite .. #url ",1
"That drink driver is about to wake up to  like none hes ever had before. And he deserves it to. Dumb POS.",1
"Going to have a little  nap nap and then Im going to work out. Ok #mention ? Ive said it so now I have to do it.",1
"Just found out about the incident at  sending love and positive vibes to all those affected. More reasons why  is a harmful drug",1
"RT #mention: My  lasted longer than most of my relationships.",1
"RT : Some people get better looking with age.. and others with .",1
"Hidup ac + nonton tv + coklat + buah **",1
"RT #mention:  vs Coffee  Theres no winning on this one #url",1
"Research shows Watching a curvaceous woman can feel like a reward in the brain of men just as much as drinking  or taking drugs can",1
"really fancy a pub dinner after wrk n thtll most likely to involve gettin wasted at the end of the night n wakin up with a  for wrk",1
"RT #mention: #mention did a great job on #mention this morning with #mention discussing  Privatization and http://ta?|",1
"Thursday night  events in : Maxines Killer Creations cupcake &amp;  pairing at Craft and Growler.. #url",1
"Terrifying. Glad youre OK. RT  #mention: Cant believe what happened at SXSW last night. Absolutely horrible.  ",1
"Did you see Boise Quest arena on the Today show? Our  cups made national news! Looks like the arena has been.. ",1
"i asked fte a question, they replied me an answer for a completely different question what the fuck you guys  or",1
"RT : What your preference in  says about your personality! ",1
"RT : jay help me meeting Fanmily for the Newcastle gig so I can get a  afterwards :D",1
"VIDEO: At Least Two Dead &amp; Many More Injured By  Driver AtA SXSW #url",1
"A bottle of green  and a lighter..guess who not dying today? #url",1
"RT :  Hair. Photo by ",1
"RT : Today-Fri, order a DryHop  & tell us, \" sent me,\" for a chance to see this Sat. ",1
"RT #mention: Imagine if all events today didnt serve  out of respect. Whats the worst that could happen, we see whos there a?|",1
"Ya know. People ask me \"How do you do it?\"  Coffee and  people. Coffee and .",1
"   Drivr At  Kills 2 Leaves Many More Injurd &amp;amp In Critical Condition #url",1
"RT #mention: SXSW Festival:  Driver Injures 23, Kills 2 People - #url ",1
"100th Anniversary of Green  --&gt; .#mention: \"Green  celebrates a century\" #mention #url",1
"Tragedy Strikes SXSW:  Driver Kills Two, Injuries Nearly Two Dozen. #url",1
"RT #mention: \"Just popping off to the little boys room touch my  and you will see the wild cat in me got it\"yes boss\" http://t.coa?|",1
"New  Fest in April: RVA ROCK$ on Tap - #url #url",1
"Lol RT :  mixes well with everything except decisions",1
"A great place to savor a large variety of brews.  #url",1
"RT : Im getting  this weekend",1
"RT : & I was  so the chances that I would have cursed them out were extremely high, look at how HE works! Id like to thank ",1
"In TX  driving convenient. Forever shocked by existence of drive thru margarita places like this--lg is 44 oz!  #url",1
"RT #mention: Angry hockey fans say arenas $7  holds same as $4 , so theyre suing #url http://t.co/xB5LivQa?|",1
"RT #mention: The latest on the 3rd Taco Bell murder arrest,  driver crashing into a crowd at the  fest in TX, and an  la?|",1
"Lmaoo nah when Im  I raise my standards even more ?? RT : ??drunken 5s sometimes become 9s tho??",1
"RT #mention: Chris Pines alleged DUI: The New Zealand pub says he was a \"really nice guy\" and didnt seem too  to drive. http://t.co/a?|",1
"I was so  Last night everyone texting me shit I did Im sittin here like lmao Im funny af g!!",1
"RT #mention: getting  with justin would be awesome",1
"RT #mention: We totally buy it! 4 Health Benefits of Drinking Craft  - #url",1
"I have a feeling Ill be  tonight, Im in a good mood.",1
"Im  ready",1
"French  (Kronenbourg Blanc 1664) and Orange Blossom Macaron from Fleur de Lys @ France Pavilion #url",1
"RT : Its like you guys RTing me dont even care that Im trying to sleep off a ",1
"RT #mention: [home alone]  expectations: -people over -getting   reality: -music full volume -twitter",1
"The Pretentious  Glass Company  #url",1
"Heading to San Antonio  where the Lone Star  flows like water and the Cowgirls are thirsty  &amp;  frisky! #media",1
"Honestly the fact that I cant drink  or tan makes me want to beat a small child",1
"and i gotta cut down on the  too",1
"RT : Twitter is like a full-time job, except you can go to work  and sexually harass all the other employees.",1
"The Great Idaho  Ripoff: Fans Expose How Sports Venues Cheat Patrons #url",1
"RT : Looking back at my  decisions like ",1
"RT @oshawn_JUK: BUY ANY 5  AND GET WINGS FOR ONLY $5 INSIDE . $4  , $4 RAIL, $4 JAGGER . ALSO WE ARE LIVE TO AIR ON a?|",1
"Over the last decade or so, Ia?Tve attended more than my fair share of hearings of both the Maui County  C.. #url",1
