"dataset","treatment","note"
"DS1-Q1", "DNN-CNN", 93.80902
"DS1-Q1", "DNN-CNN", 93.65751
"DS1-Q1", "DNN-CNN", 93.82199
"DS1-Q1", "DNN-CNN", 94.19219
"DS1-Q1", "DNN-CNN", 95.28796
"DS1-Q1", "DNN-CNN", 94.67085
"DS1-Q1", "DNN-CNN", 94.09283
"DS1-Q1", "DNN-CNN", 93.17697
"DS1-Q1", "DNN-CNN", 93.89002
"DS1-Q1", "DNN-CNN", 92.59259
"DS1-Q1", "DNN-Glove-static", 86.34985
"DS1-Q1", "DNN-Glove-static", 86.58009
"DS1-Q1", "DNN-Glove-static", 87.74459
"DS1-Q1", "DNN-Glove-static", 86.76307
"DS1-Q1", "DNN-Glove-static", 88.1768
"DS1-Q1", "DNN-Glove-static", 85.99138
"DS1-Q1", "DNN-Glove-static", 88.51064
"DS1-Q1", "DNN-Glove-static", 88.12834
"DS1-Q1", "DNN-Glove-static", 86.78881
"DS1-Q1", "DNN-Glove-static", 86.64495
"DS1-Q1", "DNN-Skipgram-static", 84.1998
"DS1-Q1", "DNN-Skipgram-static", 80.9417
"DS1-Q1", "DNN-Skipgram-static", 85.41226
"DS1-Q1", "DNN-Skipgram-static", 85.77362
"DS1-Q1", "DNN-Skipgram-static", 86.39668
"DS1-Q1", "DNN-Skipgram-static", 83.23108
"DS1-Q1", "DNN-Skipgram-static", 85.34759
"DS1-Q1", "DNN-Skipgram-static", 82.56468
"DS1-Q1", "DNN-Skipgram-static", 83.5631
"DS1-Q1", "DNN-Skipgram-static", 83.33333
"DS1-Q1", "DNN-Glove-non-static", 91.02296
"DS1-Q1", "DNN-Glove-non-static", 90.33571
"DS1-Q1", "DNN-Glove-non-static", 90.87137
"DS1-Q1", "DNN-Glove-non-static", 90.06211
"DS1-Q1", "DNN-Glove-non-static", 90.32258
"DS1-Q1", "DNN-Glove-non-static", 90.23861
"DS1-Q1", "DNN-Glove-non-static", 92.69841
"DS1-Q1", "DNN-Glove-non-static", 89.70748
"DS1-Q1", "DNN-Glove-non-static", 90.69767
"DS1-Q1", "DNN-Glove-non-static", 90.4512
"DS1-Q1", "DNN-Skipgram-non-static", 94.17879
"DS1-Q1", "DNN-Skipgram-non-static", 93.41963
"DS1-Q1", "DNN-Skipgram-non-static", 92.69777
"DS1-Q1", "DNN-Skipgram-non-static", 93.88601
"DS1-Q1", "DNN-Skipgram-non-static", 93.90374
"DS1-Q1", "DNN-Skipgram-non-static", 91.23196
"DS1-Q1", "DNN-Skipgram-non-static", 93.08855
"DS1-Q1", "DNN-Skipgram-non-static", 93.65245
"DS1-Q1", "DNN-Skipgram-non-static", 92.96636
"DS1-Q1", "DNN-Skipgram-non-static", 92.42424
"DS1-Q1", "DNN-LSTM", 93.89866
"DS1-Q1", "DNN-LSTM", 93.00847
"DS1-Q1", "DNN-LSTM", 92.53731
"DS1-Q1", "DNN-LSTM", 93.62591
"DS1-Q1", "DNN-LSTM", 94.08034
"DS1-Q1", "DNN-LSTM", 93.5857
"DS1-Q1", "DNN-LSTM", 93.11828
"DS1-Q1", "DNN-LSTM", 92.68293
"DS1-Q1", "DNN-LSTM", 93.56846
"DS1-Q1", "DNN-LSTM", 92.93598
"DS1-Q2", "DNN-CNN", 92.54237
"DS1-Q2", "DNN-CNN", 92.89428
"DS1-Q2", "DNN-CNN", 92.09139
"DS1-Q2", "DNN-CNN", 94.56343
"DS1-Q2", "DNN-CNN", 93.15648027
"DS1-Q2", "DNN-CNN", 92.86899
"DS1-Q2", "DNN-CNN", 92.64957
"DS1-Q2", "DNN-CNN", 93.086
"DS1-Q2", "DNN-CNN", 93.40463
"DS1-Q2", "DNN-CNN", 93.46734
"DS1-Q2", "DNN-Glove-static", 84.79263
"DS1-Q2", "DNN-Glove-static", 86.23298
"DS1-Q2", "DNN-Glove-static", 85.44892
"DS1-Q2", "DNN-Glove-static", 87.97565
"DS1-Q2", "DNN-Glove-static", 85.93272
"DS1-Q2", "DNN-Glove-static", 88.40804
"DS1-Q2", "DNN-Glove-static", 86.16352
