"algorithm","embedding","f1_measure"
"DNN", "LSTM", 93.304204
"DNN", "LSTM", 92.380012
"DNN", "LSTM", 88.920281
"DNN", "LSTM", 83.728214
"DNN", "LSTM", 87.72906
"SVM", "LSTM", 94.287738
"SVM", "LSTM", 92.153276
"SVM", "LSTM", 88.915636
"SVM", "LSTM", 88.869622
"SVM", "LSTM", 89.09353
"XGBoost", "LSTM", 93.43748
"XGBoost", "LSTM", 91.457832
"XGBoost", "LSTM", 87.89026
"XGBoost", "LSTM", 88.363408
"XGBoost", "LSTM", 87.746094
"DNN", "GloVe-static", 87.167852
"DNN", "GloVe-static", 86.667205
"DNN", "GloVe-static", 73.426686
"DNN", "GloVe-static", 77.435603
"DNN", "GloVe-static", 81.754273
"SVM", "GloVe-static", 87.217902
"SVM", "GloVe-static", 85.98348
"SVM", "GloVe-static", 77.562166
"SVM", "GloVe-static", 78.84874375
"SVM", "GloVe-static", 82.370952
"XGBoost", "GloVe-static", 85.695264
"XGBoost", "GloVe-static", 83.336798
"XGBoost", "GloVe-static", 73.351698
"XGBoost", "GloVe-static", 76.660336
"XGBoost", "GloVe-static", 80.175078
"DNN", "Skipgram-static", 84.076384
"DNN", "Skipgram-static", 86.416489
"DNN", "Skipgram-static", 74.320509	
"DNN", "Skipgram-static", 72.727393
"DNN", "Skipgram-static", 81.434433
"DNN", "GloVe-non-static", 90.640811
"DNN", "GloVe-non-static", 88.211772
"DNN", "GloVe-non-static", 75.723726
"DNN", "GloVe-non-static", 85.529737
"DNN", "GloVe-non-static", 84.609296
"DNN", "Skipgram-non-static", 93.14495
"DNN", "Skipgram-non-static", 92.064827
"DNN", "Skipgram-non-static", 85.344165
"DNN", "Skipgram-non-static", 87.107566
"DNN", "Skipgram-non-static", 88.258663
