"algorithm","embedding","f1_measure"
"SVM","E LSTM", 94.38669
"SVM","E LSTM", 94.94549
"SVM","E LSTM", 94.65021
"SVM","E LSTM", 93.8349
"SVM","E LSTM", 93.6214
"SVM","E LSTM", 93.4338
"SVM","E LSTM", 94.33551
"SVM","E LSTM", 93.40314
"SVM","E LSTM", 95.02982
"SVM","E LSTM", 93.09967
"SVM","B GloVe-static", 87.27655
"SVM","B GloVe-static", 88.30112
"SVM","B GloVe-static", 88.25332
"SVM","B GloVe-static", 87.39496
"SVM","B GloVe-static", 86.91983
"SVM","B GloVe-static", 86.26198
"SVM","B GloVe-static", 87.9668
"SVM","B GloVe-static", 88.36207
"SVM","B GloVe-static", 85.68353
"SVM","B GloVe-static", 87.81513
"SVM","C GloVe-non-static", 90.55036
"SVM","C GloVe-non-static", 91.36546
"SVM","C GloVe-non-static", 91.22807
"SVM","C GloVe-non-static", 90.83246
"SVM","C GloVe-non-static", 90.60543
"SVM","C GloVe-non-static", 90.34335
"SVM","C GloVe-non-static", 90.18789
"SVM","C GloVe-non-static", 91.24324
"SVM","C GloVe-non-static", 88.67102
"SVM","C GloVe-non-static", 90.56604
"SVM","A Skipgram-static", 84.39791
"SVM","A Skipgram-static", 86.4
"SVM","A Skipgram-static", 84.71795
"SVM","A Skipgram-static", 83.06709
"SVM","A Skipgram-static", 83.76422
"SVM","A Skipgram-static", 83.26271
"SVM","A Skipgram-static", 85.33058
"SVM","A Skipgram-static", 83.93443
"SVM","A Skipgram-static", 83.78088
"SVM","A Skipgram-static", 85.65445
"SVM","D Skipgram-non-static", 95.08882
"SVM","D Skipgram-non-static", 93.57072
"SVM","D Skipgram-non-static", 94.14183
"SVM","D Skipgram-non-static", 93.69748
"SVM","D Skipgram-non-static", 92.93139
"SVM","D Skipgram-non-static", 93.46195
"SVM","D Skipgram-non-static", 93.51464
"SVM","D Skipgram-non-static", 93.96552
"SVM","D Skipgram-non-static", 93.78408
"SVM","D Skipgram-non-static", 93.99368
"SVM","E LSTM", 91.72185
"SVM","E LSTM", 95.0495
"SVM","E LSTM", 92.69949
"SVM","E LSTM", 90.97104
"SVM","E LSTM", 92.257
"SVM","E LSTM", 90.97104
"SVM","E LSTM", 92.66667
"SVM","E LSTM", 91.55405
"SVM","E LSTM", 92.17687
"SVM","E LSTM", 93.39775
"SVM","B GloVe-static", 85.49383
"SVM","B GloVe-static", 87.5576
"SVM","B GloVe-static", 85.57994
"SVM","B GloVe-static", 85.5814
"SVM","B GloVe-static", 87.78281
"SVM","B GloVe-static", 85.13302
"SVM","B GloVe-static", 86.60436
"SVM","B GloVe-static", 85.27607
"SVM","B GloVe-static", 83.98134
"SVM","B GloVe-static", 88.92261
"SVM","C GloVe-non-static", 86.99839
"SVM","C GloVe-non-static", 89.28
"SVM","C GloVe-non-static", 86.76717
"SVM","C GloVe-non-static", 87.79661
"SVM","C GloVe-non-static", 89.17197
"SVM","C GloVe-non-static", 85.71429
"SVM","C GloVe-non-static", 89.21569
"SVM","C GloVe-non-static", 86.95652
"SVM","C GloVe-non-static", 88.20679
"SVM","C GloVe-non-static", 90.8805
"SVM","A Skipgram-static", 85.54396
"SVM","A Skipgram-static", 86.76471
"SVM","A Skipgram-static", 85.2459
"SVM","A Skipgram-static", 85.2459
"SVM","A Skipgram-static", 87.26208
"SVM","A Skipgram-static", 84.55772
"SVM","A Skipgram-static", 85.58692
"SVM","A Skipgram-static", 84.55772
"SVM","A Skipgram-static", 84.73054
"SVM","A Skipgram-static", 88.88889
"SVM","D Skipgram-non-static", 89.66667
"SVM","D Skipgram-non-static", 91.50327
"SVM","D Skipgram-non-static", 94.01709
"SVM","D Skipgram-non-static", 92.41147
"SVM","D Skipgram-non-static", 92.3588
"SVM","D Skipgram-non-static", 90.49296
"SVM","D Skipgram-non-static", 91.18136
"SVM","D Skipgram-non-static", 89.91453
"SVM","D Skipgram-non-static", 92.51701
"SVM","D Skipgram-non-static", 92.18501
"SVM","E LSTM", 87.36462
"SVM","E LSTM", 89.75265
"SVM","E LSTM", 89.47368
"SVM","E LSTM", 88.57143
"SVM","E LSTM", 86.95652
"SVM","E LSTM", 89.85507
"SVM","E LSTM", 89.92806
"SVM","E LSTM", 89.78102
"SVM","E LSTM", 86.52482
"SVM","E LSTM", 88.48921
"SVM","B GloVe-static", 76.01476
"SVM","B GloVe-static", 80.28674
"SVM","B GloVe-static", 72.24335
"SVM","B GloVe-static", 72.59259
"SVM","B GloVe-static", 79.86111
"SVM","B GloVe-static", 77.30496
"SVM","B GloVe-static", 75.71429
"SVM","B GloVe-static", 80.67797
"SVM","B GloVe-static", 76.49123
"SVM","B GloVe-static", 77.62238
"SVM","C GloVe-non-static", 75.93985
"SVM","C GloVe-non-static", 81.13879
"SVM","C GloVe-non-static", 76.22642
"SVM","C GloVe-non-static", 75.55556
"SVM","C GloVe-non-static", 80.57554
"SVM","C GloVe-non-static", 79.32203
"SVM","C GloVe-non-static", 78.83212
"SVM","C GloVe-non-static", 79.72509
"SVM","C GloVe-non-static", 77.85235
"SVM","C GloVe-non-static", 80
"SVM","A Skipgram-static", 75.34247
"SVM","A Skipgram-static", 72.66187
"SVM","A Skipgram-static", 71.27273
"SVM","A Skipgram-static", 73.3564
"SVM","A Skipgram-static", 73.56322
"SVM","A Skipgram-static", 69.36027
"SVM","A Skipgram-static", 73.40067
"SVM","A Skipgram-static", 75.76792
"SVM","A Skipgram-static", 75.16779
"SVM","A Skipgram-static", 73.10345
"SVM","D Skipgram-non-static", 87.94326
"SVM","D Skipgram-non-static", 86.13139
"SVM","D Skipgram-non-static", 85.71429
"SVM","D Skipgram-non-static", 85.71429
"SVM","D Skipgram-non-static", 88.0597
